W02000252	Hirwaun & Rhigos
W02000253	Aberdare North & Llwydcoed
W02000254	Aberdare West
W02000255	Aberdare East & Cwm-bach
W02000256	Aberaman
W02000257	Mountain Ash
W02000258	Treherbert
W02000259	Penrhiw-ceibr
W02000260	Ferndale & Maerdy
W02000261	Treorchy
W02000262	Pentre
W02000263	Abercynon
W02000264	Tylorstown
W02000265	Ystrad & Llwynypia
W02000266	Glyn-coch & Ynys-y-bwl
W02000267	Tonypandy West & Clydach Vale
W02000268	Porth East & Ynys-hir
W02000269	Tonypandy East
W02000270	Pontypridd East & Cilfynydd
W02000271	Porth West
W02000272	Pontypridd West
W02000273	Trefforest
W02000274	Tonyrefail West
W02000275	Tonyrefail East
W02000276	Church Village East & Ton-teg
W02000277	Taff's Well & Nantgarw
W02000278	Church Village West
W02000279	Beddau & Tyn-y-nant
W02000280	Bryn-cae & Llanharan
W02000281	Llantrisant & Talbot Green
W02000282	Pont-y-clun & Llanharry
