MSOA,index-of-transport-accesibility,chargepoints
S02001842,0,0
S02001843,0,0
S02001844,0,0
S02001845,0,0
S02001846,0,0
S02001847,0,0
S02001848,0,0
S02001849,0,0
S02001850,0,0
S02001851,0,0
S02001852,0,0
S02001853,0,0
S02001854,0,0
S02001855,0,0
S02001856,0,0
S02001857,0,0
S02001858,0,0
S02001859,0,0
S02001860,0,0
S02001861,0,0
S02001862,0,0
S02001863,0,0
S02001864,0,0
S02001865,0,0
S02001866,0,0
S02001867,0,0
S02001868,0,0
S02001869,0,0
S02001870,0,0
S02001871,0,0
S02001872,0,0
S02001873,0,0
S02001874,0,0
S02001875,0,0
S02001876,0,0
S02001877,0,0
S02001878,0,0
S02001879,0,0
S02001880,0,0
S02001881,0,0
S02001882,0,0
S02001883,0,0
S02001884,0,0
S02001885,0,0
S02001886,0,0
S02001887,0,0
S02001888,0,0
S02001889,0,0
S02001890,0,0
S02001891,0,0
S02001892,0,0
S02001893,0,0
S02001894,0,0
S02001895,0,0
S02001896,0,0
S02001897,0,0
S02001898,0,0
S02001899,0,0
S02001900,0,0
S02001901,0,0
S02001902,0,0
S02001903,0,0
S02001904,0,0
S02001905,0,0
S02001906,0,0
S02001907,0,0
S02001908,0,0
S02001909,0,0
S02001910,0,0
S02001911,0,0
S02001912,0,0
S02001913,0,0
S02001914,0,0
S02001915,0,0
S02001916,0,0
S02001917,0,0
S02001918,0,0
S02001919,0,0
S02001920,0,0
S02001921,0,0
S02001922,0,0
S02001923,0,0
S02001924,0,0
S02001925,0,0
S02001926,0,0
S02001927,0,0
S02001928,0,0
S02001929,0,0
S02001930,0,0
S02001931,0,0
S02001932,0,0
S02001933,0,0
S02001934,0,0
S02001935,0,0
S02001936,0,0
S02001937,0,0
S02001938,0,0
S02001939,0,0
S02001940,0,0
S02001941,0,0
S02001942,0,0
S02001943,0,0
S02001944,0,0
S02001945,0,0
S02001946,0,0
S02001947,0,0
S02001948,0,0
S02001949,0,0
S02001950,0,0
S02001951,0,0
S02001952,0,0
S02001953,0,0
S02001954,0,0
S02001955,0,0
S02001956,0,0
S02001957,0,0
S02001958,0,0
S02001959,0,0
S02001960,0,0
S02001961,0,0
S02001962,0,0
S02001963,0,0
S02001964,0,0
S02001965,0,0
S02001966,0,0
S02001967,0,0
S02001968,0,0
S02001969,0,0
S02001970,0,0
S02001971,0,0
S02001972,0,0
S02001973,0,0
S02001974,0,0
S02001975,0,0
S02001976,0,0
S02001977,0,0
